,Clickbaits,bait
5803,"Students in New York Fall Ill, and Swine Flu Is Suspected",0
5804,Australian copyright laws to be overhauled in 2006,0
5806,Tour de France: Cédric Vasseur wins stage 10,0
5808,Major earthquake strikes Peru followed by multiple large aftershocks,0
5810,Australian women's water polo team takes test series against Great Britain,0
5812,Confirmed bird flu death in Nigeria,0
5814,"Adults Spend 8 Hours a Day in Front of a Screen, Study Finds",0
5815,Tips for Using Compact Fluorescent Bulbs,0
5816,A.I.G. Seeking Return of Half of Its Bonuses,0
5817,Australian Senate passes resolution opposing death penalty in shadow of Van Nguyen execution,0
5819,Sony refreshes VAIO brand for business and entertainment,0
5821,Bank of Japan Will Buy More Government Bonds,0
5822,Stanford physicists print smallest-ever letters 'SU' at subatomic level of 1.5 nanometres tall,0
5824,Cleric Who Led Militants in Pakistan Is Released,0
5825,Syria affirms withdrawal intentions,0
5827,"Holding On to Wig, Dodgers Market Fallen Star",0
5828,Glazer caps Manchester United's player transfer spending at £25m a year,0
5830,France Rejects Plan to Curb Internet Piracy,0
5831,NASA's Swift detects possible birth of black hole,0
5833,US stocks see 9% drop before making recovery,0
5835,Controversial cancer test gains support,0
5837,"Zoo elephants live shorter lives than their wild counterparts, report warns",0
5839,"Cleaning Cairo, but Taking a Livelihood",0
5840,Figuring Out What Kind of Flat Panel TV to Buy,0
5841,Death Toll in Australian Fires Rises to 200,0
5842,Human cells grow blood vessels in mice,0
5844,7.0 magnitude earthquake strikes off Japanese coast,0
5846,11th suspect arrested in Laos overthrow plot; indictments handed down,0
5848,Protesters rally in Beirut,0
5850,Nine dead as plane crashes into cars in Mexico,0
5852,Possible 'mastermind' of London bombings captured in Egypt,0
5854,Huge fire in Chilean jail kills 81; 21 injured,0
5856,Recriminations and Regrets Follow Suicide of South Korean,0
5857,Banks Foreclose on Builders With Perfect Records,0
5858,Bin Laden's former driver convicted of supporting terrorism,0
5860,Disney to leave smoking out of their films,0
5862,Turkey lifts ban on YouTube,0
5864,Napster founder Shawn Fanning introduces new file-sharing project,0
5866,"Alice Cooper sets up Christian at-risk youth center in Phoenix, US",0
5868,Orioles' Palmeiro gets mixed baseball fan greeting,0
5870,Bomb Kills 7 Afghan Civilians at U.S. Base,0
5871,Army Stops Retiree Pay for Alaskans in World War II Force,0
5872,China to surpass Japan to become second largest economy,0
5874,"With Help, Conductor and Wife Ended Lives",0
5875,Big Insurer Says It Will Quit Florida Property Market,0
5876,First Women Win Seats in Kuwait Parliament,0
5877,South African Prosecutors May Drop Fraud Charges Against A.N.C. Leader Jacob Zuma,0
5878,Amazon deforestation accelerating,0
5880,The Holocaust Furor and the U.S. Bishops,0
5881,"Conflicting reports, mounting fear, over Japanese nuclear disaster",0
5883,New Zealand MP to be present at state funeral of Gerald Ford,0
5885,"As Some Businesses Dig In, the Venturesome Set Out",0
5886,"Iran Test-Fires Missile With 1,200-Mile Range",0
5887,Mugabe Rival Is Back in Zimbabwe,0
5888,US says polar bears are threatened species,0
5890,Large earthquake strikes nation of Georgia,0
5892,Top militant in Pakistan killed by suspected US missile drone,0
5894,Football: Fulham FC sacks coach Chris Coleman,0
5896,Major League Soccer 2008: Week 7 roundup,0
5898,Canada presses Iran for an international investigation into Kazemi death,0
5900,Scientists proudly display oldest crystal on Earth,0
5902,"For Some in Illinois, Talk of Reform Was Just That",0
5903,"OJ Simpson found guilty in kidnapping, armed robbery case",0
5905,US and South Korea to conduct naval exercises in response to warship sinking,0
5907,Mandela discharged from hospital,0
5909,Obama May Seek Republican for Cabinet,0
5910,"After Prices Rise, Profit Narrows at Molson Coors",0
5911,"Police: Pennsylvania mother drugged daughter, planned her impregnation",0
5913,"Tsunami bulletin issued from Pacific coast of California-Mexico border to Vancouver, Canada",0
5915,Jeter Hits One of Five Homers to Help Hide the Blemishes,0
5916,Missouri Steps Forward as Marquette Crosses the Line,0
5917,Pope Benedict XVI departs from UK,0
5919,"In U.S., Steps Toward Industrial Policy in Autos",0
5920,Greek government faces censure motion by opposition,0
5922,Gentle Questioning for U.N. Nominee,0
5923,Injured NASA astronaut replaced on crew of upcoming mission,0
5925,Ceasefire signed in Georgian-Russian conflict,0
5927,Families Play Important Part in Life on Rodeo Circuit,0
5928,Italian chocolatemaker Ferrero rules out buying UK's Cadbury,0
5930,Tighter Budgets Affect College Sports Recruiting,0
5931,Security Measures Increasing In Iraq,0
5933,"Blackhawks Let Lead Slip, but Win in Overtime",0
5934,US F-18 fighter jet crashes in San Diego residential area,0
5936,"After Jobs Discloses  Illness, Questions for Reporters",0
5937,Iraq banned from participating in Beijing Olympics,0
5939,Higher Forecast for Demand Pushes Up Oil Prices,0
5940,Britain touts private security contractors for Libya,0
5942,"For Aston Villa Soccer, a Success Story in Claret and Blue",0
5943,A Calm Judicial Eye in Storm Over Madoff Bail,0
5944,English Club Is Accused of Helping Bitter Enemy,0
5945,Australian volunteer firefighters kept busy on New Year's Day,0
5947,Judge Guilty in Kickbacks Is Accused of Fixing Suit,0
5948,Three detained for Thai marine deaths,0
5950,Bruins Goalie Tim Thomas Shows He Belongs in the N.H.L.,0
5951,San Francisco Identifies Buildings Most at Risk,0
5952,Physicist John Wheeler dies at age 96,0
5954,"In Mexico, Curbing Violence Before It Is Learned",0
5955,Steelers Holmes Admits He Sold Drugs,0
5956,"Zambian ""porn"" journalist found not guilty",0
5958,Three Mutual Funds That Found Glimmers of Hope,0
5959,Gasoline pipeline explosion in Nigeria kills hundreds,0
5961,Search for child abductor continues in Australia,0
5963,A Vow to Cut Afghan Civilian Deaths,0
5964,"Suicide bomber kills at least 45 in Lahore, Pakistan",0
5966,Federer Struggles With His Altered World,0
5967,13 Firms That Received Bailout Money Owe Back Taxes,0
5968,Over 700 feared dead after ferry hit by typhoon,0
5970,Tucson gunman appears in court for Giffords shooting,0
5972,Spanish Court Weighs Inquiry on Torture for 6 Bush-Era Officials,0
5973,Helen Thomas probes White House on torture; online community sends flowers,0
5975,Taliban Accepts Pakistan Cease-Fire,0
5976,U.S. Soccer Team Looks Ahead to World Cup Qualifier With El Salvador,0
5977,Killen gets 60 years for civil rights killings,0
5979,Russian territory expands by 4.5 square kilometres after seismic activity,0
5981,Genentech seeks accelerated FDA approval for brain tumor treatment,0
5983,"Mauritania cuts ties with Israel, expels Israeli diplomats",0
5985,Fernando Alonso wins 2008 Japanese Grand Prix,0
5987,Iran close to decision on nuclear program,0
5989,Hollywood-like car hijacking in Belgrade,0
5991,Cricket: England defeats India in fourth one-day international,0
5993,US Senate offices evacuated,0
5995,European Automakers Worry That End of Incentives Will Hurt Sales,0
5996,Korean navies exchange fire,0
5998,"Ad Revenue Down, CBS Posts Profit Drop of 52%",0
5999,Khalid Shakar al-Dulaimi,0
6000,"Low fares airline, Ryanair celebrates twenty years in business",0
6002,Australian science organisation discontinues genetically modified pea research,0
6004,Million Dollar Homepage is close to achieving million-dollar goal,0
6006,"Namibia struck by floods, president declares state of emergency",0
6008,A Life in Harmony for  Wayman Tisdale,0
6009,West Virginia Sends Pitt Home to Rest With Upset,0
6010,"A Small Showing, but With Big Dreams",0
6011,Indian heart disease 'more severe than in West',0
6013,At least eight die in Afghan capital suicide bombing,0
6015,Two people confirmed dead in Boston Marathon bombing,0
6017,Corruption threatens Brazil's Olympics and World Cup,0
6019,Finnish female politicians highlighted by World Bank's 2012 gender report,0
6021,Israeli Vote Brings Push for Release of a Soldier,0
6022,Preliminary report released on Spanair disaster that killed 154,0
6024,States Reluctantly Move to Raise Tax on Cigarettes,0
6025,Telecom Commission of Solomon Islands issues phone company US$1M fine,0
6027,9 year old girl reported to be latest US swine flu death,0
6029,Two time Tour de France winner Laurent Fignon dies at age 50,0
6031,"Once Again, Replay Shows What Mets Want to See",0
6032,French Parliament adopts controversial copyright bill,0
6034,Libya Faults U.S. on Halt to Weapons Programs,0
6035,"Clear Channel Plans to Trim 1,850 Jobs",0
6036,Israeli PM Sharon rushed to hospital,0
6038,Sports Museum of America Is Set to Close,0
6039,Former Governor Enters Debate on A.I.G.,0
6040,New Guidance Issued on Military Trials of Detainees,0
6041,"Nadal Outlasts Verdasco, but Federer Awaits in Australian Open Final",0
6042,"At the Garden, a Reminder of Why the Game Matters",0
6043,A Soccer World Traveler Comes Full Circle,0
6044,Tools That Leave Wildlife Unbothered Widen Research Horizons,0
6045,Gilchrist scores second fastest Test century,0
6047,U.S. fighter jet crashes in Libya,0
6049,Ontario Provincial Police: Caledonia land dispute is top priority,0
6051,Blasts in Mexico rips gas and oil pipelines,0
6053,Over half of Romanian terminal grade students fail baccalaureate exam,0
6055,Suit Is Filed Over Event for Inaugural,0
6056,US Dept. of Justice IP address blocked after 'vandalism' edits to Wikipedia,0
6058,Dutch Baseball General Manager Carries On for Son Who Never Gave Up,0
6059,Insurance Change for Veterans Is Scrapped,0
6060,"100,000 Parents of Citizens Were Deported Over 10 Years",0
6061,"St. Lucian footballer Philip Tisson shot dead in Brooklyn, New York",0
6063,"Reports: Design flaw caused Minneapolis, Minnesota bridge to collapse",0
6065,Meddling or Good Business?,0
6066,E.U. Leaders Turn to I.M.F. Amid Financial Crisis,0
6067,BP reports progress in oil spill cleanup,0
6069,MillerCoors and Asics Bring Action to Ads on ESPN,0
6070,"Cuba Eliminates Mexico, 7-4, at Classic",0
6071,State of Oregon Sues OppenheimerFunds,0
6072,"Israeli Settlement Growth Must Stop, Clinton Says",0
6073,"Two die after passenger ship and cargo ship collide near Haifa, Israel",0
6075,"Wikimania 2008 opens at Bibliotheca Alexandrina, Egypt",0
6077,FDA warning on pistachios after salmonella contamination,0
6079,Owner DeVos Sees the Magic as a Family Legacy,0
6080,"In Return to Racing, Michael Phelps Starts With Two Wins",0
6081,Date announced for by-election to replace former New Zealand PM Clark,0
6083,Computer Science Programs Make a Comeback in Enrollment,0
6084,Florida prisons ban inmate smoking,0
6086,Slight Rise in Consumer Prices in May,0
6087,Access Industries to Sue Chase Over Losses,0
6088,"Presstime, a Magazine Devoted to Print, Is Moving to the Web",0
6089,"4 Years for Christian Milton, Ex-A.I.G. Executive",0
6090,"Competing for Food, Beetle Becomes a Killer",0
6091,Australia First begins revival campaign,0
6093,New rocky planet discovered in orbit around nearby star,0
6095,Bartali-Coppi Rivalry Still Stirs Passion at the Giro,0
6096,Egypt to open Gaza Strip crossing for humanitarian and medical aid,0
6098,Obamas Hire Chef From Chicago,0
6099,Bill Clinton leaves hospital following heart procedure,0
6101,"Fear and loathing on the campaign trail, July 2008",0
6103,Chilean actor Oscar Garcés accused of sexual abuse,0
6105,Libya blocks access to Internet,0
6107,New Ad Campaigns Look Back at the 1930s,0
6108,Study: Socialized Canadian surgery half the U.S. cost with same results,0
6110,Judge in Nebraska says thou shalt not sue God,0
6112,"Third death following RAF helicopter crash in North Yorkshire, UK",0
6114,Astronauts Capture Hubble Space Telescope for Repairs,0
6115,Violence in Rio ends in 30 deaths,0
6117,Gazan Doctor and Peace Advocate Loses 3 Daughters to Israeli Fire and Asks Why,0
6118,Irish airline Aer Lingus to cut more staff,0
6120,Australian Defence Force faces a mass of sexual abuse lawsuits,0
6122,Red Wings Carry Burden of Lifting Beaten-Down City,0
6123,"Too Far to Go for Missouri Coach, Even With Push From Friend",0
6124,London bombing death toll rises to 'more than 50',0
6126,"For Wall Street, a Barrage of Mixed Messages",0
6127,Chemical Spill Forces Evacuation in Pennsylvania,0
6128,Bravitude and Chair of the Wikimedia Foundation on the main French TV network,0
6130,When Eagles and Ravens Fly With Blue Hens,0
6131,Do Conference Tournaments Help or Hurt? Theories Abound,0
6132,Protester says Japanese whalers shot him,0
6134,Foul Ball Leaves Wright Limping; Hobbled Youkilis Is Out,0
6135,Homeless in Sacramento Tent City Will Be Moved to State Fairground,0
6136,Foes Say Law Protects Predators,0
6137,"Broncos player Williams shot to death, police looking for suspect",0
6139,Study will examine treating heart damage with adult stem cells,0
6141,Australian remake of Iron Chef launched,0
6143,"30 dead in Baghdad bomb blasts, hundreds of people injured",0
6145,"In 2009, Layoffs Is the Business to Be In",0
6146,America's Cup: Team New Zealand wins over Alinghi in second race,0
6148,"U.S. Has the Capacity to Prosper, Obama and Volcker Say",0
6149,Bombings in Iraq Kill 11 People,0
6150,Newspaper Companies to Make More Cutbacks,0
6151,"International Festival of Cinema ""Oberá en cortos"" begins",0
6153,'Crown Fire' forces residents in Southern California to evacuate homes,0
6155,Gunmen Kill at Least Six Members of a Family in Iraq,0
6156,Fifth Expo Gastronomía finishes in Caracas,0
6158,Obama nominates Sonia Sotomayor to U.S. Supreme Court,0
6160,European Union Council to accept software patent directive,0
6162,Irish Guardian journalist reported missing in Iraq,0
6164,American singer and actor Al Martino dies at age 82,0
6166,Guantanamo detainee David Hicks seeks UK passport,0
6168,Sealing in New Delhi put off until Monday,0
6170,Chávez accuses US of plotting separation of oil rich state,0
6172,"Soyuz Arrives, and Space Station Becomes Home for 6",0
6173,"12-year-old school boy has sex change in Sussex, England",0
6175,Suicide bomber kills three people in Afghanistan,0
6177,Wikimedia board of trustees announces restructure,0
6179,Man dies in Serbian enclave; could not call ambulance,0
6181,Queen Elizabeth II unveils New Zealand Memorial in London,0
6183,The Missing Link ... to a Bigger Audience?,0
6184,Man in UK convicted for having obese dog,0
6186,Australian judge delivers verdict on burqas in court,0
6188,Spotlight Returns to Jet Cards,0
6189,Bomb explodes in crowded São Paulo street,0
6191,China names its new head coach for swimming,0
6193,Trade Diplomat Taps His Deal-Making Past,0
6194,Ebola outbreak in Congo,0
6196,Can New G.M. Pay for the Old G.M.?,0
6197,Political pundits debate Fred Thompson's younger wife,0
6199,"United Arab Emirates Aid Debt-Ridden Member, Dubai",0
6200,Soldiers in Philippines Clash With Abductors,0
6201,Microsoft acquires VoIP firm,0
6203,Obama decides against the release of graphic photos of bin Laden,0
6205,The Biggest of Puzzles Brought Down to Size,0
6206,Texas Commissioner of Agriculture visits schools to kick off National School Lunch Week,0
6208,New York Special Election Is Special Case,0
6209,House subcommittee approves massive cuts for public broadcasting,0
6211,"Fear and loathing on the campaign trail, May 2008",0
6213,Teenage gunman kills 15 in south-west Germany,0
6215,Injunction fails to stop decision on waterfront stadium in New Zealand,0
6217,"Two Santa Clara, Utah teens in critical condition after lightning strike",0
6219,Holocaust denial bishop apologizes,0
6221,Florida schools begin to enforce new statewide ban on saggy pants and other revealing attire,0
6223,Obama succeeds Bush as 44th president of the United States,0
6225,"Copenhagen hotel explosion may have been terror attack, say officials",0
6227,Beyond the Boldface Names in the IndyMac Deal,0
6228,"Televangelist Pat Robertson compares same-sex marriage to child molestation, pedophilia",0
6230,Rodriguez Has Been Identified From 2003; What About the Others?,0
6231,London police launch new anti-gang taskforce,0
6233,Felipe Massa wins 2008 Bahrain Grand Prix,0
6235,Mauresmo Advances at Indian Wells,0
6236,"EU, Microsoft agree on browser ballot",0
6238,Chilean policeman dies after falling from roof mid-pursuit,0
6240,Former Iranian president Hashemi Rafsanjani leads Friday prayers,0
6242,Vitamin C can help prevent cancer say the National Institutes of Health,0
6244,Alleged ghost hunt in Toronto ends in death,0
6246,5 Killed as Tour Bus Overturns in California,0
6247,A Battle for Jobs Pits the Young Against the Old,0
6248,Senior Aide to Hussein Sentenced to 15 Years,0
6249,Chameleon snake discovered in Borneo,0
6251,"Blast in Pakistan kills one, injures ten",0
6253,Britain makes final World War II debt payments,0
6255,Illinois Shooting Victims Move On in Different Ways,0
6256,Blagojevich Makes a Day of It on Way Out,0
6257,Lehman Has One-Shot Lead Over Goosen in Transitions Championship,0
6258,"Spend $10,600 on the Yankees, or on College or  a Car?",0
6259,Casey Stoner wins 2011 British MotoGP,0
6261,R. Allen Stanford Is Indicted and Turns Himself In,0
6262,Zimbabwe minister warns media,0
6264,"Quarterly Earnings Fall at Staples, as Sales Grow 19%",0
6265,'MI6 officers' named on US-based website,0
6267,Three peacekeepers in Sudan killed by gunmen,0
6269,Police Release Mexican Beauty Queen,0
6270,Bus crash in Spain leaves 9 Finnish tourists dead,0
6272,Sydney FC to lose competition points,0
6274,"Rain Wreaks Havoc at U.S. Open, Especially for the Caddies",0
6275,Czech Party Leaders Agree to Early Election,0
6276,That Perk in the Sky Has Defenders on the Ground,0
6277,Four feared dead in Ireland helicopter crash,0
6279,"Ivory Coast expels British, Canadian ambassadors",0
6281,Iconic London mural could be restored,0
6283,Iran stands firmly against nuclear agency resolution,0
6285,"Three people arrested in connection with murder of shop owner in West Yorkshire, England",0
6287,Deadly blaze in Paris possibly caused by arson,0
6289,Qantas grounds all flights in labour dispute,0
6291,"In Sri Lanka, Kouchner and Miliband Urge Truce",0
6292,Deutsche Bank Posts $1.6 Billion Profit,0
6293,Google announces new operating system,0
6295,"Cisco Buys Pure Digital, Maker of Flip Cameras",0
6296,New Efforts in Europe to Bolster Lending,0
6297,Brian Lara becomes second person to score 11 000 runs,0
6299,Nepali goddess retires at age 11,0
6301,Cities Deal With a Surge in Shantytowns,0
6302,Lakers Survive Slow Start to Take 3-1 Series Lead,0
6303,Roddick Leaves Drama to Serena Williams at French Open,0
6304,Nevada Supreme Court Sends Onion the Dog Case Back to Las Vegas Court,0
6306,Final report blames instrument failure for Adam Air Flight 574 disaster,0
6308,Russia withdraws from Georgia,0
6310,Video clip from YouTube used to track down suspected murderer,0
6312,"Living in a Sea of Mud, and Drowning in Dread",0
6313,"Moon water possibly originated from comets, data shows",0
6315,Cricket: India defeat England in sixth one-day international,0
6317,"Costa Rican volcano erupts, alert issued",0
6319,Venezuelan Police Raid Offices of TV Executive,0
6320,Suicide bomber kills twelve in northwest Pakistan,0
6322,Bravo Pushes Shows  Into Licensing Products,0
6323,"No single cause of autism, research review concludes",0
6325,"Medical helicopter crashes near Chicago, Illinois killing four",0
6327,Coors Light Uses Cold to Turn Up Heat on Rivals,0
6328,"Two news helicopters crash in Phoenix, Arizona",0
6330,"Iquique, Chile struck by moderate earthquake",0
6332,Rebekah Brooks resigns from News International,0
6334,Two dead after building collapse in Kenya,0
6336,US Air Force jet crashes in California,0
6338,"With Victory, Yanks Continue Three Streaks",0
6339,United States warns of suicide attacks in Kenya and Ethiopia,0
6341,Another Top Law Firm Pays Hires to Delay Start,0
6342,"EU bans all Indonesian airlines as well as several from Russia, Ukraine and Angola",0
6344,African leaders start drive to eradicate malaria,0
6346,Villanova Holds Off Syracuse in a Frantic Finish,0
6347,Union Head Says Investigating Agents Is a Difficult Task,0
6348,"Ginsburg Shares Views on Influence of Foreign Law on Her Court, and Vice Versa",0
6349,Iraq Considers Giving Foreign Oil Investors Better Terms,0
6350,The Times Reports Quarterly Loss of $74.5 Million,0
6351,Supreme Court Ruling Prompts a Mixed Response,0
6352,"For Wright and Dixon, the Drama",0
6353,"Renault F1's team boss, top engineer quit as team accepts cheating claim",0
6355,Boise Region Grapples With Smog,0
6356,"Paul McCartney slams Chinese fur practices, rules out future concerts in China",0
6358,First signs of recovery from horse flu outbreak,0
6360,Six Fighters Set to Start Showtime Tournament,0
6361,"""Successor to mp3""; MusicDNA founder interviewed",0
6363,Denver Broncos player Kenny McKinley found dead aged 23,0
6365,"Rodriguez Offers Apology, but Is It the Whole Truth?",0
6366,"Wikinews interviews Christopher Beyette, prince of the Principality of Vikesland",0
6368,France24 non-stop news channel on air today,0
6370,US pressure group proposes covert attack on Iran,0
6372,Crown Prince Sultan of Saudi Arabia dies,0
6374,Bing Delivers Credibility to Microsoft,0
6375,Three football World Cup journalists robbed at gunpoint in South Africa,0
6377,US Senate blocks Alaska refuge drilling,0
6379,"Runners, fans prepare for 109th Boston Marathon",0
6381,"Schwarzenegger heads back to work after feeling ill, being hospitalized",0
6383,"For Peruvians, Baskets for the U.S. Market Bring a New Way of Life",0
6384,"Two dead, seven others wounded in church by gunfire in Tennessee, United States",0
6386,"Massive floods in Bavaria, Austria, Switzerland",0
6388,Debated Home Run Recalls a Moment of Yankees Lore,0
6389,"44 dead and over 300,000 homeless after flooding in Brazil",0
6391,Sebastian Vettel wins 2009 Japanese Grand Prix,0
6393,GM and Chrysler receive Canadian loans amid US restructuring ultimata,0
6395,Nottingham Express Transit extensions get Government approval,0
6397,Canadian PM vows to push ahead with same-sex marriage bill,0
6399,Hundreds of cyclists take part in 2008 London Naked Bike Ride,0
6401,Former Prime Minister of Finland Harri Holkeri dies aged 74,0
6403,Belgian ship hijacked off Horn of Africa by Somali pirates,0
6405,"Estonian oil spill kills 5,000 birds",0
6407,"Sugar silos at centre of Georgia, US refinery blast that killed 13 demolished",0
6409,Pakistani Court Lifts Ban on Sharif,0
6410,MLB: Joba Chamberlain leaves Yankees to be with ill father,0
6412,Investigators Take Closer Look at Rep. Jackson in Blagojevich Case,0
6413,Domestic economic impacts likely after Japanese earthquake,0
6415,Pittsburgh Caps Rally to Win Stanley Cup,0
6416,US Congress passes $787 billion stimulus package,0
6418,"Bryant, Jackson and the Lakers Add to Their Trophy Collections",0
6419,US Senate meets in private session,0
6421,New species of dart frog discovered in Colombia,0
6423,New Zealand to send out bird flu brochures,0
6425,Serena Williams Struggles and Blake Loses Again at French Open,0
6426,Scientists may have tests to detect Alzheimers,0
6428,Homophobic attack on trainee police officer in Liverpool,0
6430,"ArcelorMittal, No. 1 Steel Maker, Reports  Loss",0
6431,CanadaVOTES: NDP candidate Michael McMahon running in Prince Edward—Hastings,0
6433,Missouri Edges Kansas With a Last-Second Shot,0
6434,"Retiring From G.M., Lutz Holds Little Back",0
6435,Yahoo May Announce Layoffs on Tuesday,0
6436,New Zealander blind in one eye because of novelty lens,0
6438,US Senate says no to pullout of US troops from Iraq,0
6440,"Madoffs Shared Much, but How Much?",0
6441,"Former teacher jailed for murdering father in London, England",0
6443,An Effort to Upgrade a Court Archive System to Free and Easy,0
6444,New Zealand exam insulter revealed,0
6446,"Trade Losses Rise in China, Threatening Jobs",0
6447,BBC to play 'four to five seconds' of Thatcher protest song,0
6449,UK football club criticized by council for attempting to trademark city's bird,0
6451,"Anglo American Cuts 19,000 Jobs",0
6452,Armstrong Displays Form and Commentary in Australia,0
6453,"Guadalupe River Park and Gardens opens in San Jose, CA, USA",0
6455,Two Britons killed in British consulate convoy attack in Basra,0
6457,"In Recession, Strategy Shifts for Big Chains",0
6458,U.S. Senate majority goes to Democrats,0
6460,Basketball: UAAP opens 2008-2009 season with new rules,0
6462,"In Their Inaugural Game, Sounders Handle Red Bulls",0
6463,U.S. Judge Sentences Iraqi Insurgent to 25 Years,0
6464,"Kept From World Baseball Classic, Johan Santana Acts as a Fan",0
6465,Shuttle Crew Prepares for Return Trip,0
6466,"For Nuggets and Mavericks, Squabbles and Series Will Continue",0
6467,25 dead after fire in Chinese coal mine,0
6469,"AFC Asian Cup: Iraq shock Australia, Japan overcome UAE",0
6471,"Apartment fire in south London, England claims victim from smoke inhalation",0
6473,Thirteen people died in London bus bombing,0
6475,Angry driver takes out cyclist pack,0
6477,Earthquake-damaged Fukushima nuclear power plant triggers evacuation,0
6479,"Boxee, Used to View Web on TV, Generates Buzz",0
6480,Looking Back in Anger at the Crisis,0
6481,Australian researchers confirm stress makes you sick,0
6483,U.S. Kills 5 Afghans in Raid on House,0
6484,"Militants in Pakistan torch NATO, US military vehicles",0
6486,Nineteen-year sentence for murder handed down to music producer Phil Spector,0
6488,Large bomb defused in Northern Ireland,0
6490,Martial law declared in Philippine province after massacre,0
6492,Prisons in New Zealand to introduce mobile phone jamming technology,0
6494,Massive blackouts hit Florida,0
6496,TeleSUR promotional campaign causes controversy in Colombia,0
6498,"As Mumbai Spills Over, Floodwater Creeps Closer",0
6499,Autopsy reveals that Terri Schiavo was in a persistent vegetative state,0
6501,New Reactors Must Handle Plane Strike,0
6502,Investor Group  Takes Madoff to Bankruptcy Court,0
6503,Obama Reverses Rules on U.S. Abortion Aid,0
6504,Professor sought after three die in Georgia shooting,0
6506,"N.B.A. Union Willing to Talk, Not Surrender",0
6507,Prosecutors begin NY State Sen. Hiram Monserrate felony assault case,0
6509,Israel undergoes major emergency drill,0
6511,"Of Joy and Despair, in Life as in Sports",0
6512,"Thirteen dead, several wounded in Fort Hood, Texas shooting",0
6514,Stressed plants produce aspirin-like chemical,0
6516,Home Secretary says about 30 major conspiracies threaten UK this Christmas,0
6518,Ghana's first female Chief Justice receives award,0
6520,"Meet Intel, Software Maker and Rival to Microsoft",0
6521,Bangladeshi Premier Faces a Grim Crucible,0
6522,Moscow Police Crush Gay Rights Rally,0
6523,Poland issues EU warrant for Swede suspected of stealing Auschwitz sign,0
6525,Cricket: India beat Pakistan in Visakhapatnam ODI,0
6527,2nd-Largest Mall Operator Files for Bankruptcy,0
6528,"In Need of Goaltending Help, the Islanders Bring Back Wade Dubielewicz",0
6529,"Lawmaker Leaving Iraq Is Detained, Then Freed",0
6530,MGM Averts Bankruptcy at CityCenter in Las Vegas,0
6531,"Staffordshire hoard goes on display in British Museum in London, England",0
6533,Sotomayor Defends Ties to Association,0
6534,Archaeologists find 1.8M-year-old Homo erectus skull,0
6536,"UCLA defeats USC, ends Trojans' BCS title hopes",0
6538,Medical Student Is Indicted in Craigslist Killing,0
6539,Cricket: India defeats Australia by 72 runs in third test,0
6541,Banks Brace to Fight Planned Regulatory Agency,0
6542,US nationals arrested for alleged abduction of Haitian children,0
6544,NASA mission finds water on the Moon,0
6546,Calls for bottled water bans grow in Canada,0
6548,Court Favors Karzai Term Until Election,0
6549,U.S. vice president Joe Biden says positive consensus on same-sex marriage is 'inevitable',0
6551,6 Detainees Are Freed as Questions Linger,0
6552,2007 World Deaf Swimming Championships Day 2: An intensive matchday,0
6554,Sesame Street to promote healthy lifestyles,0
6556,Kuwait parliament gives women the vote,0
6558,Wikinews interviews Stephen Murphy about the upcoming by-election in the Higgins electorate of the Austr,0
6560,Seattle Police Chief May Be Next Drug Czar,0
6561,Switch-Pitcher Venditte Impressing Fans but Not Many Scouts,0
6562,"For the Ultimate Board Champion, Mix Surf, Turf and Snow",0
6563,Chad Says It Hit Rebels in Air Raids Inside Sudan,0
6564,Top Air Force Officials Alter View on Fighter Jets,0
6565,Payoff Over a Web Singing Sensation Is Elusive,0
6566,Lawsuits in Madoff Case Add to Details About Fraud,0
6567,Wikinews interviews on contributions to open-source: Opera,0
6569,Anne Mulcahy Passing Reins to Ursula Burns at Xerox,0
6570,Dresdener Elbe Valley becomes UNESCO World Heritage site,0
6572,"Mike Dunlap Is Coaching at Arizona, but Not for Long",0
6573,UK's BAA forced to sell three airports,0
6575,Turbines on the Tundra,0
6576,UK and U.S. bombing raids against Iraq increased in 2002,0
6578,"Magnitude 6.0 earthquake in China kills three, injures dozens",0
6580,"Man attacks people, kills 7 in Akihabara, Tokyo",0
6582,Moscow celebrates Victory Day with military parade,0
6584,Hundreds of lawsuits filed against music sharers in US,0
6586,"MTV, Warner Music agree on licensing deal",0
6588,"Economy Remains Weak, but Fed Sees Bright Spots",0
6589,Point-and-Shoot Does Not Preclude Thinking,0
6590,Schröder loses motion of confidence,0
6592,Australian resort manager faces possible 10-year prison sentence in Indonesia,0
6594,US pool player Wade Crane dies in car accident age 66,0
6596,Wikinews visits the Pacific Orchid Exposition,0
6598,Obama Signs Equal-Pay Legislation,0
6599,Australian rules football: West Gippsland Football League Semi Finals,0
6601,Monday's no-confidence vote may signal end of current Canadian goverment,0
6603,11 killed in Mexican military helicopter crash,0
6605,Trade Barriers Rise as Slump Tightens Grip,0
6606,"San Jose, CA, USA, city manager resigns amid Norcal investigation",0
6608,Stimulus May Provide Relief for States and the Jobless on Health Insurance,0
6609,Asian countries call for global currency,0
6611,From Web Designer to Utility Supervisor,0
6612,"Airplane that crashed near Buffalo, New York 'was on autopilot'",0
6614,Five of six accused over 9/11 to be tried; charges against '20th hijacker' dropped,0
6616,Justices Retain Oversight by U.S. on Voting,0
6617,Nomination of U.S. Afghan Commander Revives Questions in Tillman Case,0
6618,G.M. to Announce 3rd New Plan in Last 4 Months,0
